matchid;journee;stade;spectateurs;date;home_team;away_team;home_goal;away_goal;home_possession;away_possession;home_duels_gagnes;away_duel_gagnes;home_duel_aeriens_gagnes;away_duel_aeriens_gagnes;home_interceptions;away_interceptions;home_hors_jeux;away_hors_eux;home_corners_won;away_corners_won;home_passes;away_passes;home_centres;away_centres;home_tirs;away_tirs;home_tirs_cadres;away_tirs_cadres;home_carton_jaune;away_carton_jaune;home_carton_rouge;away_carton_rouge;home_formation;away_formation;date_str;home_win;total_tirs;diff_possession
70819;Journée 6;STADE DE L'AUBE;8115.0;;ESTAC TROYES;STADE RENNAIS FC;1;1;28.8;71.2;54,5;45,5;41,2;58,8;9.0;4.0;1.0;3.0;3.0;5.0;255.0;620.0;8.0;28.0;9;19;1;6;2.0;2.0;1.0;0.0;3-2-2-2-1;2-2-1-2-2-1;4 SEPTEMBRE 2022- 17:05;0;28;-42.400000000000006
70820;Journée 7;STADE FRANÇOIS-COTY;7068.0;;AC AJACCIO;OGC NICE;0;1;43.7;56.3;49,6;50,4;44,1;55,9;5.0;8.0;3.0;1.0;2.0;3.0;380.0;502.0;19.0;9.0;9;12;3;3;1.0;5.0;0.0;0.0;2-2-2-2-2;2-2-2-2-2;11 SEPTEMBRE 2022- 15:00;0;21;-12.599999999999994
70821;Journée 7;STADE RAYMOND-KOPA;6165.0;;ANGERS SCO;MONTPELLIER HÉRAULT SC;2;1;44.8;55.2;54,8;45,2;50;50;7.0;7.0;2.0;2.0;2.0;5.0;374.0;458.0;11.0;18.0;11;7;5;2;2.0;4.0;0.0;0.0;2-2-2-3-1;3-2-2-2-1;11 SEPTEMBRE 2022- 15:00;1;18;-10.400000000000006
70822;Journée 7;STADE BOLLAERT-DELELIS;37344.0;;RC LENS;ESTAC TROYES;1;0;63.3;36.7;40,2;59,8;45,8;54,2;12.0;17.0;1.0;0.0;9.0;1.0;663.0;394.0;28.0;5.0;12;7;3;2;2.0;1.0;0.0;0.0;3-2-2-2-1;2-2-2-3-1;9 SEPTEMBRE 2022- 21:00;1;19;26.599999999999994
70823;Journée 7;STADE YVES-ALLAINMAT;15800.0;;FC LORIENT;FC NANTES;3;2;48.3;51.7;52,8;47,2;41,4;58,6;9.0;10.0;1.0;1.0;2.0;5.0;451.0;470.0;9.0;26.0;13;9;5;4;2.0;3.0;0.0;0.0;2-2-2-3-1;2-2-1-2-2-1;11 SEPTEMBRE 2022- 15:00;1;22;-3.4000000000000057
70824;Journée 7;ORANGE VÉLODROME;62985.0;;OLYMPIQUE DE MARSEILLE;LOSC LILLE;2;1;53.2;46.8;43,7;56,3;53,1;46,9;5.0;6.0;1.0;1.0;4.0;3.0;453.0;402.0;11.0;11.0;14;7;7;3;5.0;1.0;0.0;0.0;3-2-2-2-1;2-2-2-3-1;10 SEPTEMBRE 2022- 21:00;1;21;6.400000000000006
70825;Journée 7;STADE LOUIS-II;7175.0;;AS MONACO;OLYMPIQUE LYONNAIS;2;1;39.3;60.7;54,2;45,8;60,7;39,3;21.0;11.0;3.0;0.0;1.0;7.0;355.0;537.0;11.0;35.0;11;20;4;6;1.0;2.0;0.0;0.0;3-2-2-2-1;2-2-1-2-2-1;11 SEPTEMBRE 2022- 20:45;1;31;-21.400000000000006
70826;Journée 7;PARC DES PRINCES;47615.0;;PARIS SAINT-GERMAIN;STADE BRESTOIS 29;1;0;60.6;39.4;52,1;47,9;52,6;47,4;11.0;20.0;3.0;1.0;3.0;5.0;671.0;425.0;6.0;15.0;13;6;4;3;4.0;2.0;0.0;0.0;3-2-2-1-2;3-2-3-2;10 SEPTEMBRE 2022- 17:00;1;19;21.200000000000003
70827;Journée 7;ROAZHON PARK;27837.0;;STADE RENNAIS FC;AJ AUXERRE;5;0;48.2;51.8;52,9;47,1;53,6;46,4;9.0;11.0;2.0;3.0;2.0;1.0;473.0;499.0;6.0;14.0;12;7;9;3;1.0;1.0;0.0;0.0;2-2-2-2-2;4-1-2-2-1;11 SEPTEMBRE 2022- 17:05;1;19;-3.5999999999999943
70828;Journée 7;STADE DE LA MEINAU;25089.0;;RC STRASBOURG ALSACE;CLERMONT FOOT 63;0;0;43.0;57.0;55,3;44,7;40,9;59,1;12.0;13.0;1.0;3.0;3.0;5.0;357.0;475.0;13.0;17.0;12;10;4;4;2.0;2.0;1.0;0.0;2-2-3-1-2;2-2-2-3-1;11 SEPTEMBRE 2022- 13:00;0;22;-14.0
